,name,text,Label,reviewUrl,reviewerUrl,stars,publishAt,text_tokens
0,Mahfud Moh. Syafii,mantap,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSMkpMemlBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDR2JLziAE%7CCgwI-5_0oQYQwJ-a0wM%7C?hl=id,https://www.google.com/maps/contrib/105752770063100462560?hl=id,5,6 jam lalu,mantap
1,Leo aaking05,makanya enak dan alhamdulillah kenyang,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSNE8zSDlnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDR4O3H9gE%7CCgwItsDqoQYQkKSYygI%7C?hl=id,https://www.google.com/maps/contrib/114967332410688069785?hl=id,4,2 hari lalu,enak alhamdulillah kenyang
2,mujianto adi,maka legenda dr dulu sampai sekarang rasa tetap mak nyus,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSbTUtRUpnEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICRm5-EJg%7CCgwIkoPVoQYQsLXhzAM%7C?hl=id,https://www.google.com/maps/contrib/107952398078185773071?hl=id,5,6 hari lalu,legenda dr mak nyus
3,Kartika Rahma,the price is quite cheap by looking at the portion size nasi soto babat was the only one that tasted good while the others are so so it was pretty hot around noon maybe they should consider to add more fan,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSZzhPRjF3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICRg8OF1wE%7CCgwIjfXJoQYQgNyA1AE%7C?hl=id,https://www.google.com/maps/contrib/101584404750343133856?hl=id,4,seminggu lalu,price quite cheap looking portion size nasi soto babat one tasted good others pretty hot around noon maybe consider add fan
5,tubagus berlianto,enak kabeh masakanne kuahnya itu lho berasa banget s all menu,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSX3VTanlRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICR_uSjyQE%7CCgwIq-ipoQYQ4M73zgM%7C?hl=id,https://www.google.com/maps/contrib/105293506176987116385?hl=id,5,2 minggu lalu,enak kabeh masakanne kuah lho asa banget menu
6,maureen anastasia,pertama kalinya mencoba makan di sini tempatnya masuk ke dalam gang tapi jangan kuatir tempat makan dan parkirnya cukup luas menjual beberapa menu maka khas madura seperti rawon nasi campur telur petis soto babat dan gule saya baru mencoba rawon dan nasi campur keduanya dimakan di tempat dan seporsi gulai untuk dibawa pulang rasanya enak harga juga termasuk murah saya paling suka rawonnya,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSNnBpNmFBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICR6pi6aA%7CCgwIsJKVoQYQwPeokAI%7C?hl=id,https://www.google.com/maps/contrib/107161946345368026622?hl=id,5,2 minggu lalu,kali coba makan tempat masuk gang kuatir makan parkir luas jual menu khas madura rawon nasi campur telur petis soto babat gule coba rawon nasi campur makan porsi gulai bawa pulang enak harga murah suka rawon
8,Exxa AndryS,makanya sangat recommended serta tempatnya yang rapi dan bersih,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSNHFEV2FBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICR4qDWaA%7CCgsI_M2MoQYQwL7TDg%7C?hl=id,https://www.google.com/maps/contrib/108575131891794179173?hl=id,4,2 minggu lalu,recommended tempat rapi bersih
10,Riky Wayudi,not so bad,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSbk1DNkRnEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICRnMC6Dg%7CCgwI7aSGoQYQ-LiJkwM%7C?hl=id,https://www.google.com/maps/contrib/102649374305965313141?hl=id,5,3 minggu lalu,bad
11,Dwi Sayekti Wulandari,untuk pecinta masakan khas madura pilihan yang tepat berkunjung ke warung gang amboina rasanya otentik pilihan menunya beragam harga terjangkau,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSaE5PazJ3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICRhNOk2wE%7CCgwIz-76oAYQ2O3W8wE%7C?hl=id,https://www.google.com/maps/contrib/110006718051207434487?hl=id,5,3 minggu lalu,cinta masakan khas madura pilih kunjung warung gang amboina otentik pilih menu agam harga jangkau
12,Sugeng Pamudji,makan enak harga terjangkau tidak terlalu mahal tempat luas tempat parkir luas gulenya enak nasi campurnya enak nasi petis juga enak sayang belum merasakan nasi rawon lokasi mudah dijangkau recommended terdapat uang vip ada musholla toilet bersih lokasi dekat maajid agung bangkalan dan alun alun,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSZ1B1UWFnEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICRgPuQag%7CCgwI2NLqoAYQ4N6ltgE%7C?hl=id,https://www.google.com/maps/contrib/115252654135027706370?hl=id,5,3 minggu lalu,makan enak harga jangkau mahal luas parkir luas gulenya enak nasi campur enak nasi petis enak sayang rasa nasi rawon lokasi mudah jangkau recommended uang vip musholla toilet bersih lokasi maajid agung bangkal alun alun
16,Bobby Ferdi,sambal nya mantap kalo menurut saya lebih enak ini daripada bebek sinjay,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoMWVHRVZnEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDh1eGEVg%7CCgoI5JfAoAYQqJMR%7C?hl=id,https://www.google.com/maps/contrib/105121126578557644794?hl=id,5,sebulan lalu,sambal nya mantap kalo enak bebek sinjay
17,Cak Syam,muantebb,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURodHVmMWpnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDhtuf1jgE%7CCgwIhIqioAYQsOKnhwM%7C?hl=id,https://www.google.com/maps/contrib/117116859240295899638?hl=id,5,sebulan lalu,muantebb
18,Auzo Raaa,nasi campurnya enak bangett sambelnyaa khusus buat yg emang doyan sambel banget pedesnya nampolll es telernya kudu nyobain sih wenak poll apalagi buat yang habis touring menyegarkan bangett,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURocW8tWDdRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDhqo-X7QE%7CCgwIl5KXoAYQ8PWG_gE%7C?hl=id,https://www.google.com/maps/contrib/100563182075543209639?hl=id,5,sebulan lalu,nasi campur enak bangett sambelnyaa khusus yg emang doyan sambel banget pedesnya nampolll es teler kudu nyobain sih wenak poll habis touring segar bangett
19,Youdhiyan Fellaini,makan disini enak enak dan harga terjangkau tempatnya udah direnovasi lebih bagus luas dan nyaman meski masuk gang dikit tapi lahan parkir mobil didalam luas semua maka dan minumannya rekomended apa lagi es teler sultan nya bikin nagih ayo jangan ragu datang kesini,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoa3ByOFFBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDhkpr8QA%7CCgsI0KCRoAYQ-Mn5Vg%7C?hl=id,https://www.google.com/maps/contrib/116849639825574339793?hl=id,5,sebulan lalu,makan enak enak harga jangkau tempat udah renovasi bagus luas nyaman masuk gang dikit lahan parkir mobil dalam luas minum rekomended es teler sultan nya bikin nagih ayo ragu kesini
20,juni hadi,makan nasi campur terbaik di madura,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNvcXNyNWFBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICoqsr5aA%7CCgwI59OLoAYQuOvlyQM%7C?hl=id,https://www.google.com/maps/contrib/105807389159042357920?hl=id,5,sebulan lalu,makan nasi campur baik madura
23,Hammad Syahrillah,suka menu yg disediakan disini tempat bagus dan bersih,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNocjVYbC1RRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChr5Xl-QE%7CCgwIhoPonwYQiMm01AI%7C?hl=id,https://www.google.com/maps/contrib/101678435907618041912?hl=id,5,sebulan lalu,suka menu yg sedia bagus bersih
24,Evi Masfiyah,definisi enak murah dan lauk nya banyak gak nyesel jauh jauh makan ke sini,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoMC1MNjRBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICh0-L64AE%7CCgsI3ZnTnwYQgKjrRw%7C?hl=id,https://www.google.com/maps/contrib/107995012044020350288?hl=id,5,sebulan lalu,definisi enak murah lauk nya gak nyesel makan
25,Deby Annelien Kaonang,maka enak penjual super judes dan sengak,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoazVtMmZREAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChk5m2fQ%7CCgwIw9fSnwYQoM648AE%7C?hl=id,https://www.google.com/maps/contrib/110805900473888057895?hl=id,4,sebulan lalu,enak jual super judes sengak
